CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,0.0,0.25,0.0,0.0,0.18,0.13,0.06,0.05,0.04,0.03,0.04,0.1,0.62,0.22,0.0,0.03,0.22,0.03,0.0,0.04,0.0,0.0,0.57,0.19,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.24,0.0,0.03,0.13,0.0,0.0,0.22,0.02,0.02,0.02,0.0,0.0,0.33,0.0,0
0.0,0.0,0.31,0.0,0.0,0.01,0.09,0.02,0.0,0.04,0.02,0.09,0.0,0.48,0.25,0.0,0.01,0.11,0.04,0.03,0.04,0.0,0.0,0.91,0.0,0
0.0,0.12,0.25,0.01,0.0,0.27,0.18,0.07,0.0,0.01,0.05,0.07,0.14,0.66,0.26,0.0,0.09,0.22,0.09,0.02,0.08,0.0,0.0,0.71,0.0,0
0.01,0.0,0.25,0.01,0.0,0.01,0.07,0.03,0.01,0.03,0.05,0.04,0.0,0.85,0.12,0.01,0.02,0.13,0.04,0.02,0.02,0.0,0.0,0.84,0.05,0
0.0,0.0,0.25,0.0,0.0,0.16,0.07,0.04,0.0,0.0,0.0,0.18,0.04,0.0,0.5,0.01,0.04,0.11,0.04,0.01,0.02,0.0,0.0,1.0,0.0,0
0.0,0.01,0.25,0.0,0.0,0.0,0.12,0.02,0.0,0.02,0.02,0.24,0.0,0.5,0.25,0.05,0.03,0.15,0.04,0.04,0.02,0.0,0.0,0.74,0.0,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.08,0.06,0.03,0.24,0.0,0.02,0.12,0.0,0.0,0.07,0.0,0.0,0.96,0.0,0
0.0,0.0,0.25,0.0,0.0,0.01,0.07,0.02,0.17,0.0,0.09,0.04,0.0,0.63,0.35,0.02,0.08,0.2,0.04,0.01,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.25,0.0,0.0,0.21,0.07,0.06,0.0,0.0,0.0,0.13,0.06,0.07,0.24,0.0,0.07,0.12,0.05,0.0,0.02,0.0,0.0,0.28,0.22,0
0.0,0.01,0.25,0.0,0.0,0.13,0.07,0.04,0.0,0.0,0.01,0.11,0.04,0.33,0.32,0.0,0.05,0.11,0.04,0.01,0.02,0.0,0.0,0.96,0.13,0
0.0,0.0,0.25,0.0,0.0,0.06,0.17,0.03,0.04,0.02,0.02,0.04,0.06,0.46,0.39,0.01,0.16,0.18,0.06,0.01,0.02,0.14,0.0,0.39,0.25,0
0.0,0.0,0.25,0.0,0.0,0.04,0.07,0.02,0.0,0.02,0.0,0.26,0.0,0.0,0.21,0.0,0.02,0.09,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0
0.05,0.0,0.25,0.01,0.0,0.05,0.14,0.04,0.08,0.07,0.06,0.03,0.05,0.75,0.43,0.0,0.14,0.22,0.06,0.0,0.0,0.0,0.0,0.92,0.0,0
0.0,0.0,0.25,0.0,0.0,0.12,0.07,0.03,0.0,0.02,0.01,0.05,0.06,0.14,0.3,0.0,0.1,0.18,0.05,0.02,0.02,0.0,0.0,0.19,0.0,0
0.0,0.0,0.25,0.01,0.0,0.06,0.07,0.03,0.0,0.02,0.01,0.09,0.02,0.64,0.25,0.0,0.05,0.11,0.03,0.0,0.04,0.0,0.0,0.32,0.07,0
0.02,0.0,0.25,0.01,0.0,0.02,0.08,0.03,0.0,0.09,0.05,0.02,0.01,0.86,0.38,0.02,0.36,0.11,0.05,0.02,0.02,0.0,0.0,0.97,0.25,0
0.0,0.05,0.25,0.0,0.0,0.25,0.07,0.05,0.0,0.0,0.0,0.68,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.86,0.04,0
0.0,0.0,0.25,0.0,0.0,0.37,0.2,0.04,0.0,0.02,0.02,0.1,0.19,0.3,0.38,0.0,0.12,0.11,0.06,0.01,0.09,0.0,0.0,0.72,0.1,0
0.0,0.0,0.28,0.01,0.0,0.21,0.15,0.05,0.0,0.0,0.03,0.1,0.0,0.62,0.25,0.0,0.0,0.11,0.06,0.0,0.02,0.0,0.0,0.33,0.0,0
0.0,0.0,0.25,0.0,0.0,0.06,0.07,0.03,0.0,0.02,0.0,0.22,0.02,0.0,0.43,0.0,0.03,0.11,0.01,0.0,0.06,0.0,0.0,0.8,0.07,0
0.0,0.0,0.25,0.01,0.0,0.05,0.14,0.04,0.0,0.08,0.03,0.06,0.0,0.72,0.12,0.02,0.06,0.29,0.06,0.02,0.02,0.0,0.0,0.42,0.15,0
0.02,0.0,0.25,0.01,0.0,0.27,0.14,0.07,0.0,0.05,0.03,0.1,0.0,0.65,0.25,0.0,0.0,0.11,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.25,0.01,0.0,0.02,0.07,0.03,0.0,0.08,0.02,0.07,0.0,0.72,0.33,0.01,0.01,0.11,0.03,0.0,0.01,0.0,0.0,0.33,0.19,0
0.0,0.0,0.25,0.0,0.0,0.12,0.07,0.03,0.0,0.04,0.0,0.25,0.0,0.47,0.37,0.03,0.01,0.11,0.04,0.02,0.05,0.0,0.0,0.68,0.0,0
0.0,0.0,0.72,0.0,0.0,0.48,0.21,0.02,0.0,0.02,0.01,0.07,0.12,0.93,0.47,0.0,0.0,0.11,0.02,0.02,0.14,0.59,0.0,0.5,0.22,1
0.0,0.0,0.25,0.0,0.0,0.23,0.07,0.03,0.0,0.05,0.0,0.3,0.0,0.01,0.25,0.04,0.0,0.11,0.05,0.04,0.02,0.0,0.0,0.39,0.0,0
0.01,0.0,0.25,0.0,0.0,0.11,0.07,0.05,0.01,0.05,0.02,0.1,0.02,0.71,0.38,0.0,0.11,0.22,0.03,0.01,0.02,0.0,0.0,0.63,0.09,0
0.01,0.0,0.25,0.0,0.0,0.03,0.07,0.02,0.0,0.05,0.03,0.12,0.0,0.43,0.24,0.01,0.19,0.17,0.04,0.02,0.02,0.0,0.0,0.88,0.12,0
0.0,0.0,0.25,0.0,0.0,0.06,0.12,0.03,0.0,0.05,0.02,0.06,0.05,0.63,0.26,0.08,0.0,0.11,0.07,0.02,0.02,0.0,0.0,0.58,0.0,0
0.01,0.0,0.25,0.01,0.0,0.0,0.16,0.02,0.0,0.01,0.03,0.14,0.0,0.47,0.26,0.0,0.02,0.11,0.09,0.03,0.02,0.0,0.0,0.59,0.32,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.12,0.0,0.09,0.01,0.0,0.39,0.04,0.08,0.11,0.08,0.05,0.03,0.0,0.0,0.77,0.0,0
0.0,0.0,0.48,0.01,0.0,0.24,0.14,0.03,0.0,0.02,0.0,0.14,0.06,1.0,0.57,0.0,0.01,0.11,0.02,0.01,0.11,0.3,0.0,0.77,0.11,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.01,0.0,0.13,0.05,0.25,0.53,0.0,0.06,0.19,0.08,0.08,0.06,0.0,0.0,0.56,0.0,0
0.0,0.0,0.25,0.0,0.0,0.01,0.07,0.02,0.0,0.0,0.0,0.27,0.0,0.0,0.14,0.0,0.0,0.21,0.02,0.02,0.02,0.0,0.0,0.38,0.0,0
0.0,0.0,0.25,0.0,0.0,0.03,0.07,0.02,0.11,0.05,0.06,0.03,0.0,0.81,0.38,0.02,0.14,0.22,0.04,0.0,0.0,0.0,0.0,0.62,0.0,0
0.0,0.0,0.25,0.01,0.0,0.14,0.08,0.04,0.01,0.14,0.02,0.07,0.11,0.67,0.46,0.19,0.01,0.13,0.1,0.02,0.02,0.0,0.0,0.63,0.0,0
0.0,0.02,0.25,0.0,0.0,0.06,0.07,0.03,0.0,0.0,0.0,0.67,0.02,0.0,0.12,0.03,0.02,0.03,0.03,0.02,0.01,0.0,0.0,0.98,0.0,0
0.02,0.0,0.25,0.01,0.0,0.28,0.14,0.07,0.0,0.05,0.03,0.1,0.0,0.67,0.26,0.02,0.0,0.11,0.08,0.02,0.0,0.0,0.0,0.98,0.0,0
0.0,0.0,0.25,0.0,0.0,0.07,0.12,0.03,0.02,0.07,0.02,0.03,0.08,0.54,0.3,0.01,0.02,0.18,0.05,0.0,0.04,0.0,0.0,0.7,0.0,0
0.0,0.0,0.25,0.0,0.0,0.21,0.12,0.05,0.0,0.0,0.0,0.09,0.1,0.09,0.34,0.01,0.07,0.14,0.05,0.0,0.02,0.0,0.0,0.54,0.18,0
0.0,0.0,0.25,0.01,0.0,0.09,0.21,0.04,0.0,0.01,0.06,0.04,0.05,0.58,0.16,0.01,0.03,0.11,0.1,0.06,0.04,0.0,0.0,0.93,0.0,0
0.0,0.0,0.32,0.0,0.0,0.02,0.09,0.02,0.0,0.09,0.04,0.04,0.0,0.74,0.25,0.03,0.03,0.19,0.03,0.02,0.01,0.0,0.0,0.89,0.0,0
0.0,0.0,0.25,0.01,0.0,0.05,0.07,0.02,0.0,0.02,0.0,0.24,0.0,0.6,0.29,0.0,0.03,0.11,0.02,0.0,0.03,0.0,0.0,0.54,0.0,0
0.0,0.0,0.25,0.01,0.0,0.05,0.1,0.03,0.0,0.05,0.01,0.08,0.0,0.72,0.2,0.0,0.04,0.16,0.03,0.01,0.04,0.0,0.0,0.47,0.0,0
0.0,0.0,0.25,0.04,0.0,0.13,0.13,0.05,0.0,0.0,0.03,0.13,0.0,0.52,0.2,0.0,0.09,0.11,0.12,0.01,0.06,0.14,0.0,0.72,0.29,0
0.0,0.03,0.25,0.0,0.0,0.01,0.07,0.02,0.0,0.02,0.0,0.33,0.0,0.12,0.62,0.0,0.0,0.13,0.01,0.0,0.02,0.0,0.0,0.61,0.0,0
0.0,0.0,0.25,0.0,0.0,0.03,0.14,0.03,0.04,0.02,0.02,0.04,0.0,0.47,0.18,0.01,0.13,0.18,0.05,0.0,0.01,0.0,0.0,0.43,0.25,0
0.01,0.0,0.25,0.01,0.01,0.02,0.17,0.03,0.0,0.05,0.0,0.06,0.09,0.73,0.21,0.01,0.08,0.15,0.05,0.0,0.02,0.0,0.0,0.47,0.0,0
0.0,0.0,0.25,0.01,0.0,0.06,0.07,0.03,0.0,0.1,0.0,0.05,0.0,0.88,0.37,0.02,0.2,0.22,0.05,0.0,0.0,0.0,0.0,0.19,0.0,0
0.0,0.17,0.25,0.0,0.0,0.48,0.09,0.1,0.0,0.0,0.01,0.64,0.01,0.08,0.34,0.03,0.05,0.21,0.03,0.03,0.01,0.0,0.0,0.95,0.22,0
0.02,0.0,0.25,0.01,0.0,0.0,0.14,0.02,0.0,0.79,0.01,0.01,0.0,0.9,0.12,0.27,0.06,0.22,0.18,0.0,0.01,0.0,0.0,0.52,0.0,0
0.0,0.0,0.25,0.0,0.0,0.24,0.07,0.06,0.0,0.0,0.0,0.58,0.0,0.0,0.01,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.01,0
0.0,0.0,0.25,0.0,0.0,0.23,0.07,0.06,0.0,0.0,0.0,0.16,0.06,0.03,0.37,0.0,0.07,0.12,0.05,0.0,0.02,0.0,0.0,0.91,0.25,0
0.0,0.0,0.25,0.0,0.0,0.0,0.12,0.02,0.0,0.0,0.01,0.07,0.0,0.09,0.16,0.0,0.05,0.19,0.05,0.04,0.06,0.0,0.0,0.66,0.0,0
0.0,0.0,0.25,0.0,0.0,0.29,0.07,0.05,0.0,0.0,0.0,0.18,0.13,0.0,0.25,0.06,0.04,0.11,0.12,0.13,0.08,0.0,0.0,0.26,0.0,0
0.05,0.0,0.25,0.02,0.0,0.0,0.14,0.03,0.0,0.13,0.07,0.02,0.0,0.85,0.12,0.01,0.27,0.2,0.05,0.01,0.01,0.0,0.0,0.58,0.0,0
0.0,0.0,0.25,0.0,0.0,0.24,0.07,0.03,0.0,0.04,0.0,0.28,0.01,0.0,0.25,0.03,0.01,0.11,0.05,0.04,0.02,0.0,0.0,0.45,0.0,0
0.0,0.0,0.25,0.02,0.0,0.03,0.07,0.02,0.0,0.04,0.0,0.16,0.0,0.31,0.5,0.0,0.01,0.11,0.03,0.01,0.05,0.0,0.0,0.56,0.13,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.05,0.0,0.12,0.0,0.0,0.36,0.0,0.03,0.12,0.0,0.0,0.02,0.0,0.0,0.35,0.0,0
0.0,0.03,0.25,0.0,0.0,0.0,0.09,0.02,0.0,0.02,0.0,0.14,0.0,0.08,0.22,0.0,0.03,0.11,0.02,0.01,0.01,0.0,0.0,0.85,0.0,0
0.0,0.0,0.25,0.0,0.0,0.04,0.1,0.03,0.0,0.0,0.02,0.05,0.0,0.54,0.15,0.0,0.07,0.2,0.03,0.03,0.03,0.0,0.0,0.24,0.06,0
0.0,0.06,0.25,0.02,0.0,0.03,0.18,0.02,0.0,0.01,0.03,0.05,0.04,0.57,0.19,0.0,0.07,0.11,0.11,0.08,0.05,0.18,0.19,0.69,0.13,0
0.0,0.0,0.25,0.0,0.0,0.16,0.07,0.05,0.0,0.01,0.0,0.53,0.0,0.0,0.15,0.03,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.88,0.0,0
0.0,0.0,0.25,0.02,0.0,0.0,0.12,0.02,0.05,0.03,0.06,0.02,0.05,0.72,0.21,0.0,0.06,0.19,0.05,0.01,0.01,0.0,0.0,0.98,0.34,0
0.0,0.0,0.25,0.0,0.0,0.29,0.14,0.06,0.0,0.0,0.0,0.1,0.13,0.0,0.38,0.0,0.1,0.11,0.05,0.0,0.03,0.0,0.0,0.38,0.24,0
0.0,0.0,0.25,0.0,0.0,0.2,0.17,0.02,0.0,0.01,0.0,0.17,0.04,0.0,0.21,0.0,0.04,0.11,0.02,0.02,0.08,0.23,0.0,0.85,0.0,0
0.0,0.0,0.25,0.01,0.0,0.1,0.11,0.05,0.0,0.01,0.0,0.12,0.0,0.49,0.18,0.0,0.03,0.43,0.02,0.0,0.0,0.0,0.04,0.61,0.0,0
0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.02,0.25,0.0,0.35,0.22,0.03,0.0,0.04,0.01,0.0,0.03,0.0,0.0,1.0,0.0,0
0.02,0.0,0.25,0.01,0.0,0.0,0.07,0.04,0.0,0.01,0.02,0.14,0.0,0.32,0.21,0.0,0.04,0.19,0.03,0.01,0.02,0.0,0.0,0.83,0.17,0
0.0,0.0,0.25,0.0,0.0,0.16,0.1,0.04,0.0,0.06,0.02,0.11,0.07,0.37,0.31,0.03,0.05,0.11,0.09,0.07,0.05,0.0,0.0,0.54,0.11,0
0.0,0.0,0.25,0.0,0.0,0.0,0.14,0.02,0.0,0.01,0.02,0.03,0.0,0.73,0.38,0.0,0.04,0.17,0.05,0.02,0.02,0.0,0.0,0.67,0.0,0
0.04,0.0,0.25,0.01,0.0,0.05,0.13,0.04,0.12,0.04,0.07,0.05,0.0,0.75,0.46,0.0,0.09,0.22,0.03,0.0,0.0,0.0,0.0,0.91,0.44,0
0.0,0.0,0.25,0.01,0.0,0.0,0.07,0.02,0.0,0.02,0.0,0.31,0.0,0.8,0.5,0.01,0.01,0.09,0.02,0.0,0.06,0.0,0.0,1.0,0.0,0
0.0,0.02,0.25,0.0,0.0,0.08,0.07,0.02,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.32,0.0,0.0,0.15,0.21,0.04,0.0,0.0,0.0,0.09,0.01,0.0,0.23,0.0,0.06,0.11,0.06,0.04,0.05,0.0,0.0,0.41,0.22,0
0.0,0.04,0.42,0.01,0.01,0.04,0.19,0.04,0.0,0.27,0.05,0.03,0.0,0.71,0.21,0.04,0.05,0.11,0.07,0.03,0.04,0.0,0.0,0.39,0.51,0
0.0,0.01,0.25,0.0,0.0,0.14,0.07,0.04,0.0,0.0,0.01,0.11,0.12,0.16,0.2,0.0,0.05,0.15,0.04,0.01,0.03,0.0,0.0,0.73,0.15,0
0.0,0.0,0.25,0.01,0.0,0.08,0.12,0.04,0.0,0.0,0.02,0.11,0.02,0.4,0.26,0.0,0.06,0.18,0.05,0.0,0.02,0.0,0.0,0.51,0.0,0
0.0,0.0,0.25,0.0,0.0,0.39,0.28,0.03,0.0,0.02,0.02,0.1,0.23,0.43,0.34,0.0,0.13,0.11,0.07,0.02,0.12,0.05,0.0,1.0,0.0,0
0.0,0.0,0.25,0.0,0.0,0.04,0.07,0.03,0.0,0.01,0.0,0.21,0.0,0.3,0.27,0.0,0.02,0.19,0.02,0.02,0.04,0.0,0.0,0.86,0.0,0
0.01,0.0,0.44,0.02,0.0,0.32,0.24,0.03,0.0,0.03,0.0,0.04,0.24,0.57,0.63,0.0,0.04,0.11,0.03,0.0,0.02,0.0,0.0,0.63,0.0,0
0.0,0.02,0.25,0.0,0.0,0.06,0.09,0.03,0.0,0.0,0.03,0.05,0.0,0.68,0.25,0.0,0.02,0.11,0.04,0.02,0.02,0.0,0.0,0.83,0.0,0
0.0,0.0,0.25,0.0,0.0,0.27,0.13,0.05,0.0,0.0,0.0,0.2,0.11,0.0,0.31,0.0,0.08,0.09,0.04,0.0,0.02,0.0,0.0,0.48,0.2,0
0.0,0.0,0.25,0.01,0.0,0.0,0.14,0.02,0.05,0.16,0.04,0.02,0.0,0.77,0.21,0.03,0.12,0.26,0.04,0.01,0.01,0.0,0.0,0.84,0.0,0
0.0,0.0,0.25,0.0,0.0,0.29,0.07,0.05,0.0,0.0,0.0,0.18,0.13,0.0,0.25,0.06,0.04,0.11,0.12,0.13,0.07,0.0,0.0,1.0,0.0,0
0.0,0.01,0.25,0.0,0.0,0.0,0.1,0.03,0.25,0.01,0.01,0.21,0.04,0.2,0.42,0.15,0.03,0.16,0.05,0.05,0.02,0.0,0.0,0.31,0.1,0
0.0,0.0,0.25,0.0,0.0,0.0,0.13,0.02,0.0,0.05,0.01,0.13,0.0,0.27,0.34,0.0,0.03,0.11,0.01,0.0,0.02,0.0,0.0,0.65,0.21,0
0.0,0.04,0.25,0.0,0.0,0.29,0.07,0.03,0.0,0.0,0.0,0.44,0.0,0.0,0.19,0.24,0.0,0.11,0.08,0.07,0.01,0.0,0.0,0.62,0.0,0
0.0,0.0,0.25,0.0,0.0,0.08,0.07,0.04,0.0,0.0,0.02,0.06,0.02,0.52,0.19,0.0,0.08,0.19,0.03,0.02,0.02,0.0,0.0,0.22,0.07,0
0.0,0.0,0.27,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.01,0.06,0.0,0.05,0.13,0.0,0.05,0.21,0.05,0.04,0.05,0.0,0.0,0.61,0.0,0
0.0,0.0,0.25,0.01,0.0,0.12,0.07,0.03,0.0,0.01,0.0,0.43,0.0,0.49,0.31,0.01,0.01,0.05,0.01,0.0,0.04,0.0,0.0,1.0,0.0,0
0.01,0.05,0.25,0.01,0.0,0.04,0.17,0.04,0.04,0.06,0.07,0.03,0.0,0.72,0.12,0.0,0.23,0.25,0.09,0.03,0.02,0.0,0.0,0.35,0.0,0
0.02,0.0,0.25,0.01,0.0,0.0,0.11,0.03,0.05,0.02,0.03,0.03,0.04,0.77,0.12,0.0,0.06,0.19,0.05,0.02,0.02,0.0,0.0,0.48,0.18,0
0.0,0.02,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.04,0.01,0.0,0.02,0.02,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.25,0.01,0.0,0.08,0.14,0.04,0.0,0.0,0.03,0.07,0.0,0.62,0.17,0.0,0.04,0.18,0.05,0.0,0.02,0.0,0.0,0.3,0.0,0
0.01,0.0,0.25,0.02,0.01,0.16,0.14,0.04,0.0,0.11,0.01,0.11,0.0,0.54,0.6,0.0,0.06,0.11,0.04,0.0,0.02,0.0,0.0,0.78,0.0,0
0.0,0.0,0.25,0.02,0.0,0.04,0.07,0.03,0.0,0.08,0.03,0.17,0.0,0.66,0.38,0.0,0.01,0.2,0.02,0.0,0.0,0.0,0.0,0.79,0.0,0
0.0,0.01,0.25,0.0,0.0,0.26,0.07,0.05,0.0,0.0,0.0,0.18,0.05,0.0,0.32,0.06,0.06,0.11,0.06,0.02,0.02,0.0,0.0,0.9,0.0,0
0.06,0.0,0.25,0.0,0.07,0.05,0.14,0.04,0.03,0.01,0.04,0.02,0.0,0.72,0.12,0.0,0.02,0.13,0.1,0.0,0.02,0.0,0.0,0.4,0.48,1
0.0,0.0,0.25,0.01,0.0,0.09,0.11,0.03,0.03,0.11,0.02,0.34,0.0,0.41,0.12,0.03,0.08,0.11,0.02,0.0,0.0,0.0,0.0,0.88,0.0,0
0.0,0.0,0.25,0.0,0.0,0.01,0.08,0.03,0.0,0.0,0.0,0.02,0.01,0.11,0.25,0.0,0.16,0.22,0.05,0.02,0.02,0.0,0.01,0.14,0.04,0
0.0,0.0,0.25,0.0,0.0,0.23,0.07,0.06,0.0,0.0,0.0,0.22,0.06,0.0,0.33,0.0,0.06,0.1,0.04,0.0,0.02,0.0,0.0,0.94,0.22,0
0.0,0.0,0.25,0.01,0.0,0.0,0.14,0.03,0.0,0.0,0.03,0.05,0.0,0.6,0.13,0.0,0.06,0.22,0.05,0.0,0.03,0.0,0.0,0.31,0.0,0
0.0,0.21,0.25,0.02,0.0,0.1,0.07,0.09,0.0,0.0,0.07,0.12,0.0,0.71,0.22,0.0,0.04,0.3,0.09,0.02,0.02,0.0,0.0,0.43,0.0,0
0.02,0.0,0.44,0.0,0.01,0.09,0.13,0.03,0.0,0.01,0.0,0.16,0.0,0.23,0.24,0.0,0.0,0.11,0.03,0.0,0.04,0.0,0.0,0.47,0.0,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.01,0.15,0.0,0.27,0.2,0.08,0.0,0.18,0.05,0.01,0.02,0.0,0.0,0.95,0.0,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.01,0.0,0.22,0.0,0.39,0.42,0.0,0.01,0.11,0.02,0.01,0.11,0.0,0.0,1.0,0.0,0
0.0,0.0,0.25,0.02,0.01,0.12,0.14,0.04,0.0,0.15,0.01,0.1,0.0,0.72,0.75,0.0,0.04,0.11,0.03,0.0,0.03,0.0,0.0,0.8,0.0,0
0.02,0.0,0.25,0.01,0.0,0.0,0.07,0.02,0.0,0.04,0.0,0.12,0.11,0.69,0.21,0.02,0.03,0.1,0.02,0.01,0.02,0.0,0.01,0.94,0.0,0
0.0,0.0,0.25,0.01,0.0,0.0,0.07,0.02,0.0,0.07,0.01,0.07,0.07,0.52,0.72,0.0,0.03,0.11,0.03,0.02,0.05,0.0,0.0,0.42,0.0,0
0.0,0.0,0.25,0.02,0.0,0.09,0.14,0.04,0.02,0.14,0.01,0.08,0.0,0.72,0.62,0.0,0.04,0.14,0.03,0.0,0.02,0.0,0.0,0.81,0.0,0
0.0,0.26,0.25,0.0,0.0,0.0,0.12,0.03,0.0,0.02,0.0,0.11,0.02,0.29,0.09,0.03,0.06,0.04,0.12,0.03,0.01,0.0,0.0,0.45,0.0,0
0.0,0.0,0.63,0.0,0.0,0.47,0.18,0.03,0.0,0.02,0.01,0.09,0.13,0.76,0.44,0.01,0.01,0.11,0.04,0.05,0.13,0.51,0.0,0.61,0.19,0
0.02,0.0,0.46,0.0,0.01,0.11,0.13,0.03,0.0,0.0,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.11,0.04,0.01,0.02,0.0,0.0,0.42,0.0,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.25,0.0,0.16,0.22,0.05,0.02,0.02,0.0,0.0,0.1,0.0,0
0.0,0.0,0.25,0.0,0.01,0.0,0.13,0.02,0.0,0.01,0.02,0.05,0.0,0.65,0.16,0.0,0.05,0.11,0.04,0.02,0.02,0.0,0.0,0.63,0.03,0
0.0,0.0,0.25,0.03,0.0,0.0,0.14,0.02,0.07,0.07,0.07,0.02,0.06,0.7,0.25,0.0,0.09,0.22,0.06,0.0,0.0,0.0,0.0,0.94,0.44,0
0.02,0.0,0.25,0.01,0.0,0.0,0.07,0.02,0.05,0.02,0.03,0.06,0.0,0.85,0.23,0.0,0.07,0.2,0.04,0.02,0.04,0.0,0.0,0.54,0.2,0
0.0,0.0,0.25,0.01,0.0,0.11,0.07,0.04,0.02,0.04,0.01,0.29,0.0,0.44,0.07,0.02,0.12,0.12,0.03,0.0,0.0,0.0,0.0,0.69,0.14,0
0.03,0.0,0.25,0.01,0.0,0.06,0.14,0.04,0.23,0.08,0.06,0.02,0.0,0.73,0.41,0.0,0.09,0.22,0.03,0.0,0.02,0.0,0.0,0.99,0.32,0
0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.01,0.06,0.01,0.0,0.14,0.0,0.02,0.22,0.02,0.02,0.03,0.0,0.0,0.97,0.0,0
0.01,0.0,0.25,0.0,0.0,0.02,0.09,0.02,0.0,0.03,0.01,0.11,0.07,0.26,0.34,0.0,0.05,0.11,0.01,0.01,0.02,0.0,0.0,0.44,0.0,0
0.0,0.0,0.25,0.0,0.0,0.02,0.08,0.02,0.0,0.0,0.0,0.22,0.0,0.11,0.19,0.0,0.01,0.21,0.02,0.02,0.03,0.0,0.0,0.34,0.0,0
0.0,0.0,0.25,0.0,0.0,0.29,0.07,0.05,0.0,0.0,0.0,0.18,0.13,0.0,0.26,0.06,0.04,0.11,0.12,0.13,0.07,0.0,0.0,0.98,0.0,0
0.03,0.0,0.25,0.02,0.0,0.0,0.07,0.04,0.0,0.04,0.02,0.05,0.0,0.53,0.4,0.0,0.08,0.24,0.04,0.0,0.02,0.0,0.0,0.72,0.28,0
0.0,0.0,0.25,0.01,0.0,0.0,0.07,0.02,0.0,0.01,0.0,0.13,0.0,0.7,0.46,0.02,0.01,0.16,0.03,0.0,0.05,0.0,0.0,1.0,0.0,0
